run	biosample	sample_name	genotype_id	environment	replicate_flag	library_strategy	library_layout	platform	spots	bases	download_path
SRR11933488	SAMN15144741	05W002_WS1	05W002	WS1		RNA-Seq	PAIRED	ILLUMINA	36702826	1802152191	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11933/SRR11933488/SRR11933488.lite.1
SRR11933487	SAMN15144742	05W002_WS2	05W002	WS2		RNA-Seq	PAIRED	ILLUMINA	39798356	2026658629	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11933/SRR11933487/SRR11933487.lite.1
SRR11932937	SAMN15144743	05W002_WW	05W002	WW		RNA-Seq	PAIRED	ILLUMINA	21739040	1084596215	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11932/SRR11932937/SRR11932937.lite.1
SRR11933219	SAMN15144744	05WN230_WS1	05WN230	WS1		RNA-Seq	PAIRED	ILLUMINA	37265774	1896530663	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933219/SRR11933219.lite.1
SRR11933108	SAMN15144745	05WN230_WS2	05WN230	WS2		RNA-Seq	PAIRED	ILLUMINA	32623484	1634871246	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11933/SRR11933108/SRR11933108.lite.1
SRR11933403	SAMN15144746	05WN230_WW	05WN230	WW		RNA-Seq	PAIRED	ILLUMINA	33952993	1725165054	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933403/SRR11933403.lite.1
SRR11933292	SAMN15144747	07KS4_WS1	07KS4	WS1		RNA-Seq	PAIRED	ILLUMINA	59575581	3035399899	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11933/SRR11933292/SRR11933292.lite.1
SRR11932925	SAMN15144748	07KS4_WS2	07KS4	WS2		RNA-Seq	PAIRED	ILLUMINA	41410724	2044067968	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11932/SRR11932925/SRR11932925.lite.1
SRR11932914	SAMN15144749	07KS4_WW	07KS4	WW		RNA-Seq	PAIRED	ILLUMINA	101583177	4619108721	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11932/SRR11932914/SRR11932914.lite.1
SRR11932879	SAMN15144750	1462_WS1	1462	WS1		RNA-Seq	PAIRED	ILLUMINA	47931295	2438080962	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11932/SRR11932879/SRR11932879.lite.1
