accession_id	accession_name	environment	phenotype_value
10000	Tuescha-9	FT10	61
100000	Wil-1	FT10	71.6666666667
10001	TueV-13	FT10	68.75
10002	TueWal-2	FT10	61
10003	WalHaesB4	FT10	81.25
10004	Bolin-1	FT10	81.75
10005	Copac-1	FT10	76.6666666667
10006	Kastel-1	FT10	113.5
10007	Koch-1	FT10	75
10008	Sij-1	FT10	79.25
10009	Sij-2	FT10	80.75
10010	Sij-4	FT10	85
10011	Yeg-1	FT10	71
10012	Istisu-1	FT10	113.5
10013	Lerik1-3	FT10	92.25
10014	Xan-1	FT10	96.75
10015	Ara-1	FT10	69.75
10016	Del-10	FT10	89
10017	Petro-1	FT10	87.5
10018	Dobra-1	FT10	90
10019	KZ10	FT10	60.5
1002	Ale-Stenar-64-24	FT10	102.75
10020	Jl-2	FT10	72.5
10021	Hl-0	FT10	59.5
10022	Uk-3	FT10	73.5
10023	Strand-1	FT10	96.25
10024	Tnz-1	FT10	64
10025	Bsch-2	FT10	62.25
10026	Bg-5	FT10	63
1061	Brösarp-11-135	FT10	97.75
1062	Brösarp-15-138	FT10	94
1063	Brösarp-21-140	FT10	84
1066	Brösarp-34-145	FT10	128
1074	Brösarp-61-162	FT10	98.25
108	LDV-18	FT10	70
1137	Gårdby-22-213	FT10	111.25
1158	Aledal-6-49	FT10	98.75
1254	Tos-82-387	FT10	92
1257	Tos-95-393	FT10	94.6666666667
1317	Ängsö-74-430	FT10	104.25
1318	Ängsö-80-432	FT10	89.75
1363	Ham-7-233	FT10	104.75
1367	Ham-13-241	FT10	101.75
139	LDV-46	FT10	68.75
1435	Röd-17-319	FT10	72.25
1552	Sku-30	FT10	104
1585	Hen-16-268	FT10	103.5
159	MAR2-3	FT10	72
1829	Mdn-1	FT10	94.75
1853	MNF-Pot-21	FT10	71.5
1872	MNF-Pot-75	FT10	80.25
1890	MNF-Riv-21	FT10	101
1925	MNF-Che-2	FT10	89.5
1954	MNF-Jac-12	FT10	93
2016	MNF-Pin-39	FT10	77.5
2171	Paw-26	FT10	79
2202	Pent-23	FT10	97.75
2276	SLSP-31	FT10	83
2278	SLSP-35	FT10	79.25
2317	Ste-40	FT10	77
265	PYL-6	FT10	63.5
350	TOU-A1-88	FT10	68.5
351	TOU-A1-89	FT10	69.25
403	Zdarec3	FT10	63.5
410	Doubravnik7	FT10	76
424	Draha2	FT10	83.25
428	Borky1	FT10	75.75
430	Gr-1	FT10	92.3333333333
4779	UKSW06-179	FT10	68.6666666667
4807	UKSW06-207	FT10	79.75
4826	UKSW06-226	FT10	60
4884	UKSW06-285	FT10	70.25
4900	UKSW06-302	FT10	71
4931	UKSW06-333	FT10	62.75
4958	UKSW06-360	FT10	91.25
5023	UKSE06-118	FT10	61
5104	UKSE06-252	FT10	60
5151	UKSE06-325	FT10	81.75
5165	UKSE06-362	FT10	86.5
5210	UKSE06-432	FT10	96
5236	UKSE06-470	FT10	58.5
5253	UKSE06-500	FT10	62.75
5276	UKSE06-533	FT10	74.5
5349	UKSE06-639	FT10	92
5353	UKNW06-003	FT10	71
5470	UKNW06-212	FT10	154.666666667
5486	UKNW06-233	FT10	60.5
5506	UKNW06-281	FT10	125
5535	UKNW06-354	FT10	81.5
5577	UKNW06-403	FT10	66.75
5644	UKNW06-481	FT10	60.75
5720	Cal-2	FT10	92
5726	Cnt-1	FT10	74
5741	For-2	FT10	97.25
5748	Kil-0	FT10	60.75
5757	Mc-1	FT10	87.75
5768	UKID63	FT10	96.25
5772	Set-1	FT10	66.75
5778	Sna-1	FT10	66.25
5779	UKID74	FT10	90.5
5784	Ty-1	FT10	101.75
5800	UKID96	FT10	61.75
5811	UKID107	FT10	72
5818	UKID114	FT10	65.75
5822	UKID116	FT10	112.75
5829	Ale1-2	FT10	66.75
5830	App1-12	FT10	97.75
5831	App1-14	FT10	99.5
5832	App1-16	FT10	88.5
5835	Bil-3	FT10	73
5837	Bor-1	FT10	80.5
5856	Dör-10	FT10	119
5865	Dra1-4	FT10	109.75
5867	Dra2-1	FT10	130.5
5874	DraII-6	FT10	78
5890	DraIV 1-8	FT10	78.25
5893	DraIV 1-11	FT10	73.75
5907	DraIV 2-9	FT10	66.5
5921	DraIV 3-7	FT10	82.5
5950	DraIV 5-12	FT10	81.25
5964	DraIV 5-28	FT10	72.5
5984	DraIV 6-13	FT10	66.75
5993	DraIV 6-22	FT10	82.5
6008	Duk	FT10	73.5
6009	Eden-1	FT10	103
6011	Eden-6	FT10	97.3333333333
6012	Eden-7	FT10	102
6013	Eden-9	FT10	93.75
6016	Eds-1	FT10	87.3333333333
6017	Eds-9	FT10	96.5
6019	Fjä1-2	FT10	103.5
6020	Fjä1-5	FT10	94
6021	Fjä2-4	FT10	94.25
6023	Fly2-1	FT10	93.75
6024	Fly2-2	FT10	106.75
6025	Gro-3	FT10	129.25
6030	Grön-5	FT10	107.25
6034	Hov1-7	FT10	102.75
6035	Hov1-10	FT10	83
6036	Hov3-2	FT10	94.25
6038	Hov3-5	FT10	91.25
6039	Hovdala-2	FT10	91
6040	Kni-1	FT10	93.25
6041	Lis-3	FT10	78.75
6042	Lom1-1	FT10	63.5
6043	Löv-1	FT10	110
6046	Löv-5	FT10	117.25
6064	Nyl-2	FT10	103.666666667
6069	Nyl-7	FT10	107.25
6070	Omn-1	FT10	106.75
6071	Omn-5	FT10	120.75
6073	ÖMö1-7	FT10	102.25
6074	Ör-1	FT10	101
6076	Rev-2	FT10	121.5
6085	Sparta-1	FT10	124.25
6086	Sr:3	FT10	100.5
6088	Stu1-1	FT10	107.666666667
6090	T1000	FT10	94.75
6092	T1020	FT10	103
6094	T1040	FT10	101.75
6097	T1070	FT10	114.5
6098	T1080	FT10	112.25
6099	T1090	FT10	117
6100	T1110	FT10	102
6102	T1130	FT10	122.333333333
6104	T1160	FT10	100
6105	T450	FT10	97.75
6106	T460	FT10	102
6107	T470	FT10	119
6108	T480	FT10	78.75
6109	T510	FT10	100.75
6111	T530	FT10	111.75
6112	T540	FT10	94.5
6113	T550	FT10	132.666666667
6114	T570	FT10	97
6115	T580	FT10	97.5
6118	T610	FT10	98.25
6122	T670	FT10	101.5
6124	T690	FT10	129.5
6125	T710	FT10	106.25
6126	T720	FT10	103.25
6127	T730	FT10	124
6128	T740	FT10	122.333333333
6129	T750	FT10	109.75
6131	T780	FT10	119
6132	T790	FT10	106
6133	T800	FT10	111.75
6134	T810	FT10	110
6136	T840	FT10	96.5
6137	T850	FT10	92.5
6138	T860	FT10	97
6140	T880	FT10	98.75
6142	T900	FT10	98.5
6145	T930	FT10	116
6148	T960	FT10	105
6149	T970	FT10	106
6150	T980	FT10	111.333333333
6151	T990	FT10	99.5
6153	TAA 03	FT10	149.25
6154	TAA 04	FT10	149.333333333
6163	TAA 14	FT10	157.5
6166	TAA 17	FT10	144
6169	TÅD 01	FT10	116
6171	TÅD 03	FT10	103.25
6172	TÅD 04	FT10	110.5
6173	TÅD 05	FT10	91.75
6174	TÅD 06	FT10	100
6177	TÄL 03	FT10	99
6180	TÄL 07	FT10	71
6184	TBÖ 01	FT10	93.6666666667
6188	TDr-1	FT10	73.25
6189	TDr-2	FT10	74
6191	TDr-4	FT10	78.3333333333
6192	TDr-5	FT10	95
6193	TDr-7	FT10	83
6194	TDr-8	FT10	110.5
6195	TDr-9	FT10	83.75
6197	TDr-11	FT10	75.25
6198	TDr-13	FT10	88.25
6201	TDr-16	FT10	94.25
6202	TDr-17	FT10	109.75
6203	TDr-18	FT10	108
6209	TEDEN 02	FT10	94
6210	TEDEN 03	FT10	100.75
6216	TFÄ 06	FT10	134.5
6217	TFÄ 07	FT10	111.25
6218	TFÄ 08	FT10	124
6220	TGR 01	FT10	103
6221	TGR 02	FT10	108
6231	TNY 04	FT10	109.25
6235	TOM 01	FT10	119.5
6237	TOM 03	FT10	106
6238	TOM 04	FT10	104.5
6240	TOM 06	FT10	98.25
6241	TOM 07	FT10	96.25
6242	Tomegap-2	FT10	83.6666666667
6243	Tottarp-2	FT10	66.75
6244	TRÄ 01	FT10	90.75
6252	TV-4	FT10	122.75
6255	TV-7	FT10	134
6258	TV-10	FT10	119.25
6268	TV-22	FT10	115
6276	TV-30	FT10	131
6284	TV-38	FT10	117.5
6288	Udu-12	FT10	87.5
6296	UduI 1-11	FT10	75
630	LI-OF-065	FT10	73.5
6390	UduI 3-36	FT10	71.75
6396	UduI 4-9	FT10	82.75
6413	Ull3-4	FT10	104.25
6424	ZdrI 1-23	FT10	77
6434	ZdrI 2-9	FT10	62.75
6445	ZdrI 2-21	FT10	67
6680	ANH-1	FT10	99.25
6709	Bg-2	FT10	69
6744	CSHL-5	FT10	63.25
6830	Kz-13	FT10	69.75
6897	Ag-0	FT10	68
6898	An-1	FT10	57.5
6900	Bil-5	FT10	116
6901	Bil-7	FT10	95.5
6903	Bor-4	FT10	81.5
6904	Br-0	FT10	72.25
6906	C24	FT10	55.75
6907	CIBC-17	FT10	72
6908	CIBC-5	FT10	66
6909	Col-0	FT10	70.5
6911	Cvi-0	FT10	62.75
6913	Eden-2	FT10	120.666666667
6915	Ei-2	FT10	76.5
6916	Est-1	FT10	75
6917	Fäb-2	FT10	144
6918	Fäb-4	FT10	123
6919	Ga-0	FT10	76.75
6920	Got-22	FT10	86.75
6921	Got-7	FT10	83.25
6922	Gu-0	FT10	71
6923	HR-10	FT10	57
6924	HR-5	FT10	61.5
6926	Kin-0	FT10	66.25
6927	KNO-10	FT10	73.5
6928	KNO-18	FT10	77.25
6929	Kondara	FT10	78.5
6931	Kz-9	FT10	59.75
6932	Ler-1	FT10	63.5
6933	LL-0	FT10	63.75
6936	Lz-0	FT10	80.5
6937	Mrk-0	FT10	75.75
6938	Ms-0	FT10	72
6939	Mt-0	FT10	61.25
6940	Mz-0	FT10	64.25
6943	NFA-10	FT10	60.75
6944	NFA-8	FT10	63.75
6945	Nok-3	FT10	76.5
6951	Pu2-23	FT10	79.5
6956	Pu2-7	FT10	84.5
6957	Pu2-8	FT10	81.25
6958	Ra-0	FT10	68.75
6959	Rennes-1	FT10	71.75
6960	Rennes-11	FT10	55
6961	Se-0	FT10	59
6963	Sorbo	FT10	78.75
6964	Spr1-2	FT10	94.75
6965	Spr1-6	FT10	94.6666666667
6966	Sq-1	FT10	62.25
6967	Sq-8	FT10	62.75
6968	Tamm-2	FT10	92.5
6969	Tamm-27	FT10	91.25
6970	Ts-1	FT10	62.5
6971	Ts-5	FT10	66.25
6972	Tsu-1	FT10	79.5
