GSM	sample_title	accession_number	accession_name	growth_temperature	tissue	developmental_stage	target_gene	raw_counts	RPKM	processed_file
GSM1321737	s991_10C	991	Ale-Stenar-41-1	10C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321737/suppl/GSM1321737_s991_10C_expression_table.txt.gz
GSM1321738	s991_16C	991	Ale-Stenar-41-1	16C	whole rosette	9-leaf stage	AT1G11560	1.0	0.000377719066033	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321738/suppl/GSM1321738_s991_16C_expression_table.txt.gz
GSM1321739	s992_10C	992	Ale-Stenar-44-4	10C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321739/suppl/GSM1321739_s992_10C_expression_table.txt.gz
GSM1321740	s992_16C	992	Ale-Stenar-44-4	16C	whole rosette	9-leaf stage	AT1G11560	1.0	0.000229351510252	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321740/suppl/GSM1321740_s992_16C_expression_table.txt.gz
GSM1321741	s1061_10C	1061	Brösarp-11-135	10C	whole rosette	9-leaf stage	AT1G11560	2.0	0.000759072959983	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321741/suppl/GSM1321741_s1061_10C_expression_table.txt.gz
GSM1321742	s1061_16C	1061	Brösarp-11-135	16C	whole rosette	9-leaf stage	AT1G11560	8.0	0.0014875268584	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321742/suppl/GSM1321742_s1061_16C_expression_table.txt.gz
GSM1321743	s1062_10C	1062	Brösarp-15-138	10C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321743/suppl/GSM1321743_s1062_10C_expression_table.txt.gz
GSM1321744	s1062_16C	1062	Brösarp-15-138	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321744/suppl/GSM1321744_s1062_16C_expression_table.txt.gz
GSM1321745	s1063_10C	1063	Brösarp-21-140	10C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321745/suppl/GSM1321745_s1063_10C_expression_table.txt.gz
GSM1321746	s1063_16C	1063	Brösarp-21-140	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321746/suppl/GSM1321746_s1063_16C_expression_table.txt.gz
GSM1321747	s1070_10C	1070	Brösarp-45-153	10C	whole rosette	9-leaf stage	AT1G11560	3.0	0.00109002364924	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321747/suppl/GSM1321747_s1070_10C_expression_table.txt.gz
GSM1321748	s1074_10C	1074	Brösarp-61-162	10C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321748/suppl/GSM1321748_s1074_10C_expression_table.txt.gz
GSM1321749	s1074_16C	1074	Brösarp-61-162	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321749/suppl/GSM1321749_s1074_16C_expression_table.txt.gz
GSM1321750	s1137_10C	1137	Gårdby-22-213	10C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321750/suppl/GSM1321750_s1137_10C_expression_table.txt.gz
GSM1321751	s1137_16C	1137	Gårdby-22-213	16C	whole rosette	9-leaf stage	AT1G11560	2.0	0.000778251419776	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321751/suppl/GSM1321751_s1137_16C_expression_table.txt.gz
GSM1321752	s1158_10C	1158	Aledal-6-49	10C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321752/suppl/GSM1321752_s1158_10C_expression_table.txt.gz
GSM1321753	s1158_16C	1158	Aledal-6-49	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321753/suppl/GSM1321753_s1158_16C_expression_table.txt.gz
GSM1321754	s1254_10C	1254	Tos-82-387	10C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321754/suppl/GSM1321754_s1254_10C_expression_table.txt.gz
GSM1321755	s1254_16C	1254	Tos-82-387	16C	whole rosette	9-leaf stage	AT1G11560	0.5	0.000286175103508	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321755/suppl/GSM1321755_s1254_16C_expression_table.txt.gz
GSM1321756	s1257_10C	1257	Tos-95-393	10C	whole rosette	9-leaf stage	AT1G11560	1.0	0.000413716108541	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321756/suppl/GSM1321756_s1257_10C_expression_table.txt.gz
GSM1321757	s1257_16C	1257	Tos-95-393	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321757/suppl/GSM1321757_s1257_16C_expression_table.txt.gz
GSM1321758	s1317_10C	1317	Ängsö-74-430	10C	whole rosette	9-leaf stage	AT1G11560	1.0	0.000892826850518	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321758/suppl/GSM1321758_s1317_10C_expression_table.txt.gz
GSM1321759	s1317_16C	1317	Ängsö-74-430	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321759/suppl/GSM1321759_s1317_16C_expression_table.txt.gz
GSM1321760	s1552_10C	1552	Sku-30	10C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321760/suppl/GSM1321760_s1552_10C_expression_table.txt.gz
GSM1321761	s1552_16C	1552	Sku-30	16C	whole rosette	9-leaf stage	AT1G11560	1.0	0.000258349401581	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321761/suppl/GSM1321761_s1552_16C_expression_table.txt.gz
GSM1321762	s5832_10C	5832	App1-16	10C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321762/suppl/GSM1321762_s5832_10C_expression_table.txt.gz
GSM1321763	s5832_16C	5832	App1-16	16C	whole rosette	9-leaf stage	AT1G11560	2.0	0.00086813608196	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321763/suppl/GSM1321763_s5832_16C_expression_table.txt.gz
GSM1321764	s5856_10C	5856	Dör-10	10C	whole rosette	9-leaf stage	AT1G11560	3.0	0.00118238703876	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321764/suppl/GSM1321764_s5856_10C_expression_table.txt.gz
GSM1321765	s5856_16C	5856	Dör-10	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321765/suppl/GSM1321765_s5856_16C_expression_table.txt.gz
GSM1321766	s5865_10C	5865	Dra1-4	10C	whole rosette	9-leaf stage	AT1G11560	4.0	0.000707225861924	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321766/suppl/GSM1321766_s5865_10C_expression_table.txt.gz
GSM1321767	s5865_16C	5865	Dra1-4	16C	whole rosette	9-leaf stage	AT1G11560	2.0	0.000954140616672	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321767/suppl/GSM1321767_s5865_16C_expression_table.txt.gz
GSM1321768	s5867_10C	5867	Dra2-1	10C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321768/suppl/GSM1321768_s5867_10C_expression_table.txt.gz
GSM1321769	s5867_16C	5867	Dra2-1	16C	whole rosette	9-leaf stage	AT1G11560	2.0	0.000326402360045	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321769/suppl/GSM1321769_s5867_16C_expression_table.txt.gz
GSM1321770	s6011_10C	6011	Eden-6	10C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321770/suppl/GSM1321770_s6011_10C_expression_table.txt.gz
GSM1321771	s6011_16C	6011	Eden-6	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321771/suppl/GSM1321771_s6011_16C_expression_table.txt.gz
GSM1321772	s6012_10C	6012	Eden-7	10C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321772/suppl/GSM1321772_s6012_10C_expression_table.txt.gz
GSM1321773	s6012_16C	6012	Eden-7	16C	whole rosette	9-leaf stage	AT1G11560	1.0	0.000596081859755	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321773/suppl/GSM1321773_s6012_16C_expression_table.txt.gz
GSM1321774	s6013_10C	6013	Eden-9	10C	whole rosette	9-leaf stage	AT1G11560	1.0	0.000521368602927	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321774/suppl/GSM1321774_s6013_10C_expression_table.txt.gz
GSM1321775	s6013_16C	6013	Eden-9	16C	whole rosette	9-leaf stage	AT1G11560	1.0	0.000587422814419	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321775/suppl/GSM1321775_s6013_16C_expression_table.txt.gz
GSM1321776	s6016_10C	6016	Eds-1	10C	whole rosette	9-leaf stage	AT1G11560	0.333333333333	9.17798614727e-05	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321776/suppl/GSM1321776_s6016_10C_expression_table.txt.gz
GSM1321777	s6016_16C	6016	Eds-1	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321777/suppl/GSM1321777_s6016_16C_expression_table.txt.gz
GSM1321778	s6021_10C	6021	Fjä2-4	10C	whole rosette	9-leaf stage	AT1G11560	1.0	0.000237239350369	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321778/suppl/GSM1321778_s6021_10C_expression_table.txt.gz
GSM1321779	s6021_16C	6021	Fjä2-4	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321779/suppl/GSM1321779_s6021_16C_expression_table.txt.gz
GSM1321780	s6023_10C	6023	Fly2-1	10C	whole rosette	9-leaf stage	AT1G11560	0.5	0.000154005317109	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321780/suppl/GSM1321780_s6023_10C_expression_table.txt.gz
GSM1321781	s6023_16C	6023	Fly2-1	16C	whole rosette	9-leaf stage	AT1G11560	1.0	0.000159559342895	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321781/suppl/GSM1321781_s6023_16C_expression_table.txt.gz
GSM1321782	s6030_10C	6030	Grön-5	10C	whole rosette	9-leaf stage	AT1G11560	2.0	0.0004851378507	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321782/suppl/GSM1321782_s6030_10C_expression_table.txt.gz
