GSM	accession_id	accession_name	RPKM	normalized_count
GSM2135738	108	LDV-18	3	3
GSM2135741	139	LDV-46	2	2
GSM2135743	159	MAR2-3	0	0
GSM2135761	265	PYL-6	8	8
GSM2135762	350	TOU-A1-88	1	1
GSM2135763	351	TOU-A1-89	3	3
GSM2135764	403	Zdarec3	2	2
GSM2135765	410	Doubravnik7	46	46
GSM2135766	424	Draha2	1	1
GSM2135767	428	Borky1	0	0
GSM2135776	506	BRR60	3	3
GSM2135860	630	LI-OF-065	0	0
GSM2135869	687	LI-EF-018	1	1
GSM2135918	728	LI-SET-019	2	2
GSM2135950	763	Kar-1	2	2
GSM2135951	768	Zal-1	0	0
GSM2135954	801	KYC-33	0	0
GSM2135991	870	MIC-31	4	4
GSM2136020	915	LIN S-5	0	0
GSM2136024	932	CHA-41	2	2
GSM2136417	997	Ale-Stenar-56-14	7	7
GSM2135730	1002	Ale-Stenar-64-24	0	0
GSM2135737	1066	Brosarp-34-145	20	20
GSM2135739	1158	Aledal-6-49	0	0
GSM2135740	1317	Angso-74-430	2	2
GSM2135742	1435	Rod-17-319	0	0
GSM2135744	1684	Haz-10	2	2
GSM2135745	1741	KBS-Mac-74	1	1
GSM2135746	1829	Mdn-1	5	5
GSM2135747	1872	MNF-Pot-75	4	4
GSM2135748	1890	MNF-Riv-21	1	1
GSM2135749	1925	MNF-Che-2	3	3
GSM2135750	1954	MNF-Jac-12	0	0
GSM2135751	2016	MNF-Pin-39	3	3
GSM2135752	2017	MNF-Pin-40	0	0
GSM2135753	2031	Map-8	1	1
GSM2135754	2171	Paw-26	3	3
GSM2135755	2202	Pent-23	2	2
GSM2135756	2212	Pent-46	4	4
GSM2135757	2276	SLSP-31	6	6
GSM2135758	2278	SLSP-35	3	3
GSM2135759	2317	Ste-40	1	1
GSM2135760	2370	Yng-4	4	4
GSM2135768	4779	UKSW06-179	0	0
GSM2135769	4807	UKSW06-207	0	0
GSM2135770	4826	UKSW06-226	3	3
GSM2135771	4884	UKSW06-285	1	1
GSM2135772	4931	UKSW06-333	1	1
GSM2135773	4939	UKSW06-341	0	0
GSM2135774	4958	UKSW06-360	3	3
GSM2135775	5023	UKSE06-118	0	0
GSM2135777	5104	UKSE06-252	4	4
GSM2135778	5151	UKSE06-325	35	35
GSM2135779	5210	UKSE06-432	2	2
GSM2135780	5236	UKSE06-470	2	2
GSM2135781	5276	UKSE06-533	2	2
GSM2135782	5279	UKSE06-541	4	4
GSM2135783	5349	UKSE06-639	3	3
GSM2135784	5353	UKNW06-003	0	0
GSM2135785	5395	UKNW06-102	1	1
GSM2135786	5486	UKNW06-233	4	4
GSM2135787	5535	UKNW06-354	6	6
GSM2135788	5577	UKNW06-403	3	3
GSM2135789	5644	UKNW06-481	45	45
GSM2135790	5717	Bra-1	0	0
GSM2135791	5718	UKID11	4	4
GSM2135792	5720	Cal-2	5	5
GSM2135793	5726	Cnt-1	0	0
GSM2135794	5741	For-2	6	6
GSM2135795	5748	Kil-0	0	0
GSM2135796	5768	UKID63	0	0
GSM2135797	5772	Set-1	1	1
GSM2135798	5778	Sna-1	2	2
GSM2135799	5779	UKID74	31	31
GSM2135800	5784	Ty-1	5	5
GSM2135801	5798	UKID93	2	2
GSM2135802	5800	UKID96	3	3
GSM2135803	5811	UKID107	4	4
GSM2135804	5818	UKID114	4	4
GSM2135805	5822	UKID116	2	2
GSM2135806	5831	App1-14	2	2
GSM2135807	5837	Bor-1	4	4
GSM2135808	5860	Dra-3	2	2
GSM2135809	5874	DraII-6	1	1
GSM2135810	5890	DraIV 1-8	4	4
GSM2135811	5893	DraIV 1-11	4	4
GSM2135812	5907	DraIV 2-9	4	4
GSM2135813	5921	DraIV 3-7	0	0
GSM2135814	5950	DraIV 5-12	2	2
GSM2135815	5984	DraIV 6-13	2	2
GSM2135816	5993	DraIV 6-22	3	3
GSM2135817	6008	Duk	1	1
GSM2135818	6009	Eden-1	2	2
GSM2135819	6017	Eds-9	1	1
GSM2135820	6020	Fja1-5	3	3
GSM2135821	6024	Fly2-2	3	3
GSM2135822	6025	Gro-3	1	1
GSM2135823	6038	Hov3-5	0	0
GSM2135824	6041	Lis-3	0	0
GSM2135825	6064	Nyl-2	3	3
GSM2135826	6086	Sr:3	0	0
GSM2135827	6097	T1070	0	0
GSM2135828	6099	T1090	6	6
GSM2135829	6106	T460	4	4
GSM2135830	6107	T470	0	0
GSM2135831	6108	T480	1	1
GSM2135832	6111	T530	6	6
GSM2135833	6133	T800	5	5
GSM2135834	6137	T850	1	1
GSM2135835	6138	T860	0	0
GSM2135836	6140	T880	5	5
GSM2135837	6145	T930	5	5
GSM2135838	6148	T960	0	0
GSM2135839	6154	TAA 04	2	2
GSM2135840	6163	TAA 14	1	1
GSM2135841	6166	TAA 17	3	3
GSM2135842	6169	TAD 01	1	1
GSM2135843	6171	TAD 03	0	0
GSM2135844	6174	TAD 06	4	4
GSM2135845	6177	TAL 03	2	2
GSM2135846	6194	TDr-8	14	14
GSM2135847	6195	TDr-9	8	8
GSM2135848	6198	TDr-13	52	52
GSM2135849	6201	TDr-16	1	1
GSM2135850	6203	TDr-18	0	0
GSM2135851	6217	TFA 07	2	2
GSM2135852	6218	TFA 08	3	3
GSM2135853	6220	TGR 01	4	4
GSM2135854	6240	TOM 06	3	3
GSM2135855	6241	TOM 07	1	1
GSM2135856	6255	TV-7	3	3
GSM2135857	6268	TV-22	3	3
GSM2135858	6284	TV-38	8	8
GSM2135859	6296	UduI 1-11	3	3
GSM2135861	6390	UduI 3-36	0	0
GSM2135862	6424	ZdrI 1-23	65	65
GSM2135863	6434	ZdrI 2-9	4	4
GSM2135864	6445	ZdrI 2-21	1	1
GSM2135865	6680	ANH-1	2	2
GSM2135866	6709	Bg-2	0	0
GSM2135867	6744	CSHL-5	1	1
GSM2135868	6830	Kz-13	0	0
GSM2135870	6900	Bil-5	5	5
GSM2135871	6906	C24	0	0
GSM2135872	6907	CIBC-17	1	1
GSM2135873	6908	CIBC-5	1	1
GSM2136441	6909	Col-0	0	0
GSM2135874	6911	Cvi-0	3	3
GSM2135875	6917	Fab-2	1	1
GSM2135876	6923	HR-10	1	1
GSM2135877	6933	LL-0	4	4
GSM2135878	6937	Mrk-0	3	3
GSM2135879	6939	Mt-0	0	0
GSM2135880	6943	NFA-10	2	2
GSM2135881	6944	NFA-8	0	0
GSM2135882	6957	Pu2-8	5	5
GSM2135883	6960	Ren-11	0	0
GSM2135884	6966	Sq-1	1	1
GSM2135885	6970	Ts-1	2	2
GSM2135886	6971	Ts-5	2	2
GSM2135887	6973	Ull2-3	3	3
GSM2135888	6974	Ull2-5	4	4
GSM2135889	6976	Uod-7	29	29
GSM2135890	6979	Wei-0	0	0
GSM2135891	6989	Alst-1	0	0
GSM2135892	6992	Ang-0	3	3
GSM2135893	7013	Bd-0	9	9
GSM2135894	7028	Bch-1	0	0
GSM2135895	7033	Buckhorn Pass	3	3
GSM2135896	7058	Bur-0	2	2
GSM2135897	7067	Ct-1	1	1
GSM2135898	7094	Da-0	0	0
GSM2135899	7102	Do-0	0	0
GSM2135900	7103	Dra-0	9	9
GSM2135901	7106	Dr-0	1	1
GSM2135902	7107	Durh-1	0	0
GSM2135903	7111	Edi-0	6	6
GSM2135904	7119	En-2	0	0
GSM2135905	7161	Gd-1	1	1
GSM2135906	7164	Hau-0	8	8
GSM2135907	7165	Hn-0	11	11
GSM2135908	7167	Hi-0	0	0
GSM2135909	7169	Hh-0	2	2
GSM2135910	7186	Kn-0	10	10
GSM2135911	7202	Kb-0	3	3
GSM2135912	7218	Le-0	1	1
GSM2135913	7231	Li-7	3	3
GSM2135914	7244	Mnz-0	7	7
GSM2135915	7248	Mv-0	0	0
GSM2135916	7250	Me-0	0	0
GSM2135917	7263	Nz-1	5	5
GSM2135919	7282	Or-0	1	1
GSM2135920	7288	Oy-0	0	0
GSM2135921	7296	Petergof	2	2
GSM2135922	7308	Po-0	1	1
GSM2135923	7316	Rhen-1	3	3
GSM2135924	7320	Rou-0	1	1
GSM2135925	7322	Rsch-4	1	1
GSM2135926	7327	Sf-1	4	4
GSM2135927	7328	Sf-2	3	3
GSM2135928	7330	Sapporo-0	1	1
GSM2135929	7346	Ste-0	5	5
GSM2135930	7350	Tac-0	1	1
GSM2135931	7353	Tha-1	1	1
GSM2135932	7354	Ting-1	0	0
GSM2135933	7355	Tiv-1	0	0
GSM2135934	7372	Tscha-1	3	3
GSM2135935	7373	Tsu-0	1	1
GSM2135936	7377	Tul-0	3	3
GSM2135937	7384	Ven-1	3	3
GSM2135938	7396	Ws-0	2	2
GSM2135939	7404	Wc-1	4	4
GSM2135940	7413	Wil-2	4	4
GSM2135941	7418	Zu-1	1	1
GSM2135942	7424	Jl-3	1	1
GSM2135943	7427	Ko-2	5	5
GSM2135944	7458	Ber	55	55
GSM2135945	7461	H55	5	5
GSM2135946	7477	WAR	1	1
GSM2135947	7515	RRS-10	1	1
GSM2135948	7517	Var2-6	6	6
GSM2135949	7521	Lp2-6	118	118
GSM2135952	7717	KNO1.37	3	3
GSM2135953	7917	PNA3.10	1	1
GSM2135955	8077	PT2.21	1	1
GSM2135956	8132	RMX3.22	2	2
GSM2135957	8231	Bro1-6	1	1
GSM2135958	8233	Dem-4	2	2
GSM2135959	8234	Gul1-2	0	0
GSM2135960	8235	Hod	3	3
GSM2135961	8236	HSm	2	2
GSM2135962	8238	Kent	3	3
GSM2135963	8239	Koln	2	2
GSM2135964	8244	PHW-34	1	1
GSM2135965	8246	NC-6	0	0
GSM2135966	8247	San-2	4	4
GSM2135967	8259	Ba5-1	1	1
GSM2135968	8264	Bla-1	5	5
GSM2135969	8266	Boo2-1	8	8
GSM2135970	8275	Cen-0	0	0
GSM2135971	8284	DraII-1	1	1
GSM2135972	8290	En-1	2	2
GSM2135973	8297	Ge-0	2	2
GSM2135974	8325	Lip-0	4	4
GSM2135975	8334	Lu-1	5	5
GSM2135976	8337	Mir-0	0	0
GSM2135977	8343	Na-1	0	0
GSM2135978	8351	Ost-0	4	4
GSM2135979	8353	Pa-1	0	0
GSM2135980	8357	Pla-0	3	3
GSM2135981	8365	Rak-2	2	2
GSM2135982	8366	Rd-0	1	1
GSM2135983	8378	Sap-0	1	1
GSM2135984	8386	Sr:5	6	6
GSM2135985	8419	Wil-1	1	1
GSM2135986	8424	Kas-2	0	0
GSM2135987	8428	Uod-2	2	2
GSM2135988	8430	Lisse	6	6
GSM2135989	8472	LP3413.41	0	0
GSM2135990	8584	328ME059	0	0
GSM2135992	9067	Xan-3	0	0
GSM2135993	9075	Lerik1-4	2	2
GSM2135994	9078	Lerik1-7	0	0
GSM2135995	9079	Lerik2-1	4	4
GSM2135996	9081	Lerik2-3	2	2
GSM2135997	9084	Lerik2-6	1	1
GSM2135998	9085	Lerik2-7	0	0
GSM2135999	9089	Nar-3	0	0
GSM2136000	9091	Nar-5	1	1
GSM2136001	9095	Istisu-5	3	3
GSM2136002	9099	Istisu-9	31	31
GSM2136003	9100	Lag1-2	36	36
GSM2136004	9102	Lag1-4	32	32
GSM2136005	9103	Lag1-5	39	39
GSM2136006	9104	Lag1-6	57	57
GSM2136007	9105	Lag1-7	32	32
GSM2136008	9106	Lag1-8	28	28
GSM2136009	9111	Lag2-4	25	25
GSM2136010	9113	Lag2-6	32	32
GSM2136011	9114	Lag2-7	5	5
GSM2136012	9115	Lag2-10	1	1
GSM2136013	9121	Bak-5	1	1
GSM2136014	9125	Geg-14	3	3
GSM2136015	9128	Yeg-2	3	3
GSM2136016	9130	Yeg-4	0	0
GSM2136017	9131	Yeg-5	3	3
GSM2136018	9133	Yeg-7	7	7
GSM2136019	9134	Yeg-8	3	3
GSM2136021	9298	Edinburgh-1	0	0
GSM2136022	9312	Ullapool-8	4	4
GSM2136023	9314	Gol-2	11	11
GSM2136025	9321	Adal 1	1	1
GSM2136026	9386	Gron 12	3	3
GSM2136027	9388	Gron 14	1	1
GSM2136028	9404	HolA-1 1	4	4
GSM2136029	9405	HolA-1 2	3	3
GSM2136030	9408	Kal 1	0	0
GSM2136031	9409	Kia 1	1	1
GSM2136032	9421	Lan 1	3	3
GSM2136033	9433	Nyl 13	0	0
GSM2136034	9451	Spro 2	0	0
GSM2136035	9503	11C1	2	2
GSM2136036	9506	IP-Alo-0	26	26
GSM2136037	9507	IP-Coa-0	0	0
GSM2136038	9508	IP-Mos-1	0	0
GSM2136039	9509	IP-Reg-0	0	0
GSM2136040	9510	IP-Rei-0	2	2
GSM2136041	9511	IP-Vav-0	0	0
GSM2136042	9512	IP-Vid-1	0	0
GSM2136043	9513	IP-Adc-5	1	1
GSM2136044	9514	IP-Adm-0	0	0
GSM2136045	9515	IP-Ala-0	0	0
GSM2136046	9516	IP-Ali-1	8	8
GSM2136047	9517	IP-All-0	0	0
GSM2136048	9518	IP-Alm-0	20	20
GSM2136049	9519	IP-Ang-0	0	0
GSM2136050	9520	IP-Ara-4	0	0
GSM2136051	9521	IP-Bar-1	0	0
GSM2136052	9522	IP-Bea-0	3	3
GSM2136053	9523	IP-Ben-0	0	0
GSM2136054	9524	IP-Ber-0	35	35
GSM2136055	9525	IP-Bis-0	4	4
GSM2136056	9526	IP-Cab-3	0	0
GSM2136057	9527	IP-Cad-0	0	0
GSM2136058	9529	IP-Cap-1	1	1
GSM2136059	9530	IP-Car-1	0	0
GSM2136060	9531	IP-Cdc-3	3	3
GSM2136061	9532	IP-Cdo-0	2	2
GSM2136062	9533	IP-Cem-0	13	13
GSM2136063	9534	IP-Cmo-3	0	0
GSM2136064	9535	IP-Coc-1	1	1
GSM2136065	9537	IP-Cum-1	0	0
GSM2136066	9538	IP-Cur-4	8	8
GSM2136067	9540	IP-Elb-0	0	0
GSM2136068	9541	IP-Fue-2	0	0
GSM2136069	9542	IP-Fun-0	0	0
GSM2136070	9543	IP-Gra-0	3	3
GSM2136071	9544	IP-Gua-1	2	2
GSM2136072	9545	IP-Her-12	6	6
GSM2136073	9546	IP-Hom-4	0	0
GSM2136074	9547	IP-Hor-0	0	0
GSM2136075	9548	IP-Hoy-0	0	0
GSM2136076	9549	IP-Hum-2	2	2
GSM2136077	9550	IP-Iso-4	5	5
GSM2136078	9551	IP-Jim-1	8	8
GSM2136079	9552	IP-Lab-7	0	0
GSM2136080	9553	IP-Ldd-0	20	20
GSM2136081	9554	IP-Lso-0	96	96
GSM2136082	9556	IP-Men-2	0	0
GSM2136083	9557	IP-Moa-0	39	39
GSM2136084	9558	IP-Moc-11	2	2
GSM2136085	9559	IP-Mon-5	5	5
GSM2136086	9560	IP-Mot-0	3	3
GSM2136087	9561	IP-Mun-0	0	0
GSM2136088	9562	IP-Mur-0	0	0
GSM2136089	9563	IP-Nav-0	0	0
GSM2136090	9564	IP-Nog-17	41	41
GSM2136091	9565	IP-Orb-10	7	7
GSM2136092	9566	IP-Oso-0	3	3
GSM2136093	9567	IP-Pal-0	34	34
GSM2136094	9568	IP-Pan-0	38	38
GSM2136095	9569	IP-Pds-1	6	6
GSM2136096	9570	IP-Pob-0	5	5
GSM2136097	9572	IP-Pue-0	0	0
GSM2136098	9573	IP-Rds-0	0	0
GSM2136099	9574	IP-Rel-0	26	26
GSM2136100	9575	IP-Ren-6	0	0
GSM2136101	9576	IP-Rev-0	12	12
GSM2136102	9577	IP-Ria-0	2	2
GSM2136103	9578	IP-Sac-0	4	4
GSM2136104	9579	IP-San-10	3	3
GSM2136105	9580	IP-Scm-0	0	0
GSM2136106	9581	IP-Sdv-3	0	0
GSM2136107	9582	IP-Ses-0	27	27
GSM2136108	9583	IP-Sne-0	0	0
GSM2136109	9584	IP-Stp-0	4	4
GSM2136110	9585	IP-Svi-0	0	0
GSM2136111	9586	IP-Tam-0	8	8
GSM2136112	9587	IP-Tdc-0	0	0
GSM2136113	9588	IP-Tol-7	0	0
GSM2136114	9590	IP-Trs-0	17	17
GSM2136115	9591	IP-Vad-0	4	4
GSM2136116	9592	IP-Vae-2	0	0
GSM2136117	9593	IP-Vaz-0	15	15
GSM2136118	9594	IP-Vdm-0	59	59
GSM2136119	9595	IP-Vdt-0	3	3
GSM2136120	9596	IP-Ver-5	5	5
