GSM	sample_title	accession_id	cultivar	tissue	developmental_stage
GSM2135714	Tuescha-9 (10000)	10000	Tuescha-9	leaf	before bolting
GSM2135715	TueV-13 (10001)	10001	TueV-13	leaf	before bolting
GSM2135716	TueWal-2 (10002)	10002	TueWal-2	leaf	before bolting
GSM2135717	Kastel-1 (10006)	10006	Kastel-1	leaf	before bolting
GSM2135718	Sij-1 (10008)	10008	Sij-1	leaf	before bolting
GSM2135719	Sij-2 (10009)	10009	Sij-2	leaf	before bolting
GSM2135720	Sij-4 (10010)	10010	Sij-4	leaf	before bolting
GSM2135721	Yeg-1 (10011)	10011	Yeg-1	leaf	before bolting
GSM2135722	Istisu-1 (10012)	10012	Istisu-1	leaf	before bolting
GSM2135723	Lerik1-3 (10013)	10013	Lerik1-3	leaf	before bolting
GSM2135724	Xan-1 (10014)	10014	Xan-1	leaf	before bolting
GSM2135725	Sha (10015)	10015	Sha	leaf	before bolting
GSM2135726	Del-10 (10016)	10016	Del-10	leaf	before bolting
GSM2135727	Petro-1 (10017)	10017	Petro-1	leaf	before bolting
GSM2135728	Dobra-1 (10018)	10018	Dobra-1	leaf	before bolting
GSM2135729	KZ10 (10019)	10019	KZ10	leaf	before bolting
GSM2135730	Ale-Stenar-64-24 (1002)	1002	Ale-Stenar-64-24	leaf	before bolting
GSM2135731	Jl-2 (10020)	10020	Jl-2	leaf	before bolting
GSM2135732	Hl-0 (10021)	10021	Hl-0	leaf	before bolting
GSM2135733	Uk-3 (10022)	10022	Uk-3	leaf	before bolting
GSM2135734	Strand-1 (10023)	10023	Strand-1	leaf	before bolting
GSM2135735	Tnz-1 (10024)	10024	Tnz-1	leaf	before bolting
GSM2135736	Bg-5 (10026)	10026	Bg-5	leaf	before bolting
GSM2135737	Brosarp-34-145 (1066)	1066	Brosarp-34-145	leaf	before bolting
GSM2135738	LDV-18 (108)	108	LDV-18	leaf	before bolting
GSM2135739	Aledal-6-49 (1158)	1158	Aledal-6-49	leaf	before bolting
GSM2135740	Angso-74-430 (1317)	1317	Angso-74-430	leaf	before bolting
GSM2135741	LDV-46 (139)	139	LDV-46	leaf	before bolting
GSM2135742	Rod-17-319 (1435)	1435	Rod-17-319	leaf	before bolting
GSM2135743	MAR2-3 (159)	159	MAR2-3	leaf	before bolting
GSM2135744	Haz-10 (1684)	1684	Haz-10	leaf	before bolting
GSM2135745	KBS-Mac-74 (1741)	1741	KBS-Mac-74	leaf	before bolting
GSM2135746	Mdn-1 (1829)	1829	Mdn-1	leaf	before bolting
GSM2135747	MNF-Pot-75 (1872)	1872	MNF-Pot-75	leaf	before bolting
GSM2135748	MNF-Riv-21 (1890)	1890	MNF-Riv-21	leaf	before bolting
GSM2135749	MNF-Che-2 (1925)	1925	MNF-Che-2	leaf	before bolting
GSM2135750	MNF-Jac-12 (1954)	1954	MNF-Jac-12	leaf	before bolting
GSM2135751	MNF-Pin-39 (2016)	2016	MNF-Pin-39	leaf	before bolting
GSM2135752	MNF-Pin-40 (2017)	2017	MNF-Pin-40	leaf	before bolting
GSM2135753	Map-8 (2031)	2031	Map-8	leaf	before bolting
GSM2135754	Paw-26 (2171)	2171	Paw-26	leaf	before bolting
GSM2135755	Pent-23 (2202)	2202	Pent-23	leaf	before bolting
GSM2135756	Pent-46 (2212)	2212	Pent-46	leaf	before bolting
GSM2135757	SLSP-31 (2276)	2276	SLSP-31	leaf	before bolting
GSM2135758	SLSP-35 (2278)	2278	SLSP-35	leaf	before bolting
GSM2135759	Ste-40 (2317)	2317	Ste-40	leaf	before bolting
GSM2135760	Yng-4 (2370)	2370	Yng-4	leaf	before bolting
GSM2135761	PYL-6 (265)	265	PYL-6	leaf	before bolting
GSM2135762	TOU-A1-88 (350)	350	TOU-A1-88	leaf	before bolting
GSM2135763	TOU-A1-89 (351)	351	TOU-A1-89	leaf	before bolting
GSM2135764	Zdarec3 (403)	403	Zdarec3	leaf	before bolting
GSM2135765	Doubravnik7 (410)	410	Doubravnik7	leaf	before bolting
GSM2135766	Draha2 (424)	424	Draha2	leaf	before bolting
GSM2135767	Borky1 (428)	428	Borky1	leaf	before bolting
GSM2135768	UKSW06-179 (4779)	4779	UKSW06-179	leaf	before bolting
GSM2135769	UKSW06-207 (4807)	4807	UKSW06-207	leaf	before bolting
GSM2135770	UKSW06-226 (4826)	4826	UKSW06-226	leaf	before bolting
GSM2135771	UKSW06-285 (4884)	4884	UKSW06-285	leaf	before bolting
GSM2135772	UKSW06-333 (4931)	4931	UKSW06-333	leaf	before bolting
GSM2135773	UKSW06-341 (4939)	4939	UKSW06-341	leaf	before bolting
GSM2135774	UKSW06-360 (4958)	4958	UKSW06-360	leaf	before bolting
GSM2135775	UKSE06-118 (5023)	5023	UKSE06-118	leaf	before bolting
GSM2135776	BRR60 (506)	506	BRR60	leaf	before bolting
GSM2135777	UKSE06-252 (5104)	5104	UKSE06-252	leaf	before bolting
GSM2135778	UKSE06-325 (5151)	5151	UKSE06-325	leaf	before bolting
GSM2135779	UKSE06-432 (5210)	5210	UKSE06-432	leaf	before bolting
GSM2135780	UKSE06-470 (5236)	5236	UKSE06-470	leaf	before bolting
GSM2135781	UKSE06-533 (5276)	5276	UKSE06-533	leaf	before bolting
GSM2135782	UKSE06-541 (5279)	5279	UKSE06-541	leaf	before bolting
GSM2135783	UKSE06-639 (5349)	5349	UKSE06-639	leaf	before bolting
GSM2135784	UKNW06-003 (5353)	5353	UKNW06-003	leaf	before bolting
GSM2135785	UKNW06-102 (5395)	5395	UKNW06-102	leaf	before bolting
GSM2135786	UKNW06-233 (5486)	5486	UKNW06-233	leaf	before bolting
GSM2135787	UKNW06-354 (5535)	5535	UKNW06-354	leaf	before bolting
GSM2135788	UKNW06-403 (5577)	5577	UKNW06-403	leaf	before bolting
GSM2135789	UKNW06-481 (5644)	5644	UKNW06-481	leaf	before bolting
GSM2135790	Bra-1 (5717)	5717	Bra-1	leaf	before bolting
GSM2135791	UKID11 (5718)	5718	UKID11	leaf	before bolting
GSM2135792	Cal-2 (5720)	5720	Cal-2	leaf	before bolting
GSM2135793	Cnt-1 (5726)	5726	Cnt-1	leaf	before bolting
GSM2135794	For-2 (5741)	5741	For-2	leaf	before bolting
GSM2135795	Kil-0 (5748)	5748	Kil-0	leaf	before bolting
GSM2135796	UKID63 (5768)	5768	UKID63	leaf	before bolting
GSM2135797	Set-1 (5772)	5772	Set-1	leaf	before bolting
GSM2135798	Sna-1 (5778)	5778	Sna-1	leaf	before bolting
GSM2135799	UKID74 (5779)	5779	UKID74	leaf	before bolting
GSM2135800	Ty-1 (5784)	5784	Ty-1	leaf	before bolting
GSM2135801	UKID93 (5798)	5798	UKID93	leaf	before bolting
GSM2135802	UKID96 (5800)	5800	UKID96	leaf	before bolting
GSM2135803	UKID107 (5811)	5811	UKID107	leaf	before bolting
GSM2135804	UKID114 (5818)	5818	UKID114	leaf	before bolting
GSM2135805	UKID116 (5822)	5822	UKID116	leaf	before bolting
GSM2135806	App1-14 (5831)	5831	App1-14	leaf	before bolting
GSM2135807	Bor-1 (5837)	5837	Bor-1	leaf	before bolting
GSM2135808	Dra-3 (5860)	5860	Dra-3	leaf	before bolting
GSM2135809	DraII-6 (5874)	5874	DraII-6	leaf	before bolting
GSM2135810	DraIV 1-8 (5890)	5890	DraIV 1-8	leaf	before bolting
GSM2135811	DraIV 1-11 (5893)	5893	DraIV 1-11	leaf	before bolting
GSM2135812	DraIV 2-9 (5907)	5907	DraIV 2-9	leaf	before bolting
GSM2135813	DraIV 3-7 (5921)	5921	DraIV 3-7	leaf	before bolting
GSM2135814	DraIV 5-12 (5950)	5950	DraIV 5-12	leaf	before bolting
GSM2135815	DraIV 6-13 (5984)	5984	DraIV 6-13	leaf	before bolting
GSM2135816	DraIV 6-22 (5993)	5993	DraIV 6-22	leaf	before bolting
GSM2135817	Duk (6008)	6008	Duk	leaf	before bolting
GSM2135818	Eden-1 (6009)	6009	Eden-1	leaf	before bolting
GSM2135819	Eds-9 (6017)	6017	Eds-9	leaf	before bolting
GSM2135820	Fja1-5 (6020)	6020	Fja1-5	leaf	before bolting
GSM2135821	Fly2-2 (6024)	6024	Fly2-2	leaf	before bolting
GSM2135822	Gro-3 (6025)	6025	Gro-3	leaf	before bolting
GSM2135823	Hov3-5 (6038)	6038	Hov3-5	leaf	before bolting
GSM2135824	Lis-3 (6041)	6041	Lis-3	leaf	before bolting
GSM2135825	Nyl-2 (6064)	6064	Nyl-2	leaf	before bolting
GSM2135826	Sr:3 (6086)	6086	Sr:3	leaf	before bolting
GSM2135827	T1070 (6097)	6097	T1070	leaf	before bolting
GSM2135828	T1090 (6099)	6099	T1090	leaf	before bolting
GSM2135829	T460 (6106)	6106	T460	leaf	before bolting
GSM2135830	T470 (6107)	6107	T470	leaf	before bolting
GSM2135831	T480 (6108)	6108	T480	leaf	before bolting
GSM2135832	T530 (6111)	6111	T530	leaf	before bolting
GSM2135833	T800 (6133)	6133	T800	leaf	before bolting
GSM2135834	T850 (6137)	6137	T850	leaf	before bolting
GSM2135835	T860 (6138)	6138	T860	leaf	before bolting
GSM2135836	T880 (6140)	6140	T880	leaf	before bolting
GSM2135837	T930 (6145)	6145	T930	leaf	before bolting
GSM2135838	T960 (6148)	6148	T960	leaf	before bolting
GSM2135839	TAA 04 (6154)	6154	TAA 04	leaf	before bolting
GSM2135840	TAA 14 (6163)	6163	TAA 14	leaf	before bolting
GSM2135841	TAA 17 (6166)	6166	TAA 17	leaf	before bolting
GSM2135842	TAD 01 (6169)	6169	TAD 01	leaf	before bolting
GSM2135843	TAD 03 (6171)	6171	TAD 03	leaf	before bolting
GSM2135844	TAD 06 (6174)	6174	TAD 06	leaf	before bolting
GSM2135845	TAL 03 (6177)	6177	TAL 03	leaf	before bolting
GSM2135846	TDr-8 (6194)	6194	TDr-8	leaf	before bolting
GSM2135847	TDr-9 (6195)	6195	TDr-9	leaf	before bolting
GSM2135848	TDr-13 (6198)	6198	TDr-13	leaf	before bolting
GSM2135849	TDr-16 (6201)	6201	TDr-16	leaf	before bolting
GSM2135850	TDr-18 (6203)	6203	TDr-18	leaf	before bolting
GSM2135851	TFA 07 (6217)	6217	TFA 07	leaf	before bolting
GSM2135852	TFA 08 (6218)	6218	TFA 08	leaf	before bolting
GSM2135853	TGR 01 (6220)	6220	TGR 01	leaf	before bolting
GSM2135854	TOM 06 (6240)	6240	TOM 06	leaf	before bolting
GSM2135855	TOM 07 (6241)	6241	TOM 07	leaf	before bolting
GSM2135856	TV-7 (6255)	6255	TV-7	leaf	before bolting
GSM2135857	TV-22 (6268)	6268	TV-22	leaf	before bolting
GSM2135858	TV-38 (6284)	6284	TV-38	leaf	before bolting
GSM2135859	UduI 1-11 (6296)	6296	UduI 1-11	leaf	before bolting
GSM2135860	LI-OF-065 (630)	630	LI-OF-065	leaf	before bolting
GSM2135861	UduI 3-36 (6390)	6390	UduI 3-36	leaf	before bolting
GSM2135862	ZdrI 1-23 (6424)	6424	ZdrI 1-23	leaf	before bolting
GSM2135863	ZdrI 2-9 (6434)	6434	ZdrI 2-9	leaf	before bolting
GSM2135864	ZdrI 2-21 (6445)	6445	ZdrI 2-21	leaf	before bolting
GSM2135865	ANH-1 (6680)	6680	ANH-1	leaf	before bolting
GSM2135866	Bg-2 (6709)	6709	Bg-2	leaf	before bolting
GSM2135867	CSHL-5 (6744)	6744	CSHL-5	leaf	before bolting
GSM2135868	Kz-13 (6830)	6830	Kz-13	leaf	before bolting
GSM2135869	LI-EF-018 (687)	687	LI-EF-018	leaf	before bolting
GSM2135870	Bil-5 (6900)	6900	Bil-5	leaf	before bolting
GSM2135871	C24 (6906)	6906	C24	leaf	before bolting
GSM2135872	CIBC-17 (6907)	6907	CIBC-17	leaf	before bolting
GSM2135873	CIBC-5 (6908)	6908	CIBC-5	leaf	before bolting
GSM2135874	Cvi-0 (6911)	6911	Cvi-0	leaf	before bolting
GSM2135875	Fab-2 (6917)	6917	Fab-2	leaf	before bolting
GSM2135876	HR-10 (6923)	6923	HR-10	leaf	before bolting
GSM2135877	LL-0 (6933)	6933	LL-0	leaf	before bolting
GSM2135878	Mrk-0 (6937)	6937	Mrk-0	leaf	before bolting
GSM2135879	Mt-0 (6939)	6939	Mt-0	leaf	before bolting
GSM2135880	NFA-10 (6943)	6943	NFA-10	leaf	before bolting
GSM2135881	NFA-8 (6944)	6944	NFA-8	leaf	before bolting
GSM2135882	Pu2-8 (6957)	6957	Pu2-8	leaf	before bolting
GSM2135883	Ren-11 (6960)	6960	Ren-11	leaf	before bolting
GSM2135884	Sq-1 (6966)	6966	Sq-1	leaf	before bolting
GSM2135885	Ts-1 (6970)	6970	Ts-1	leaf	before bolting
GSM2135886	Ts-5 (6971)	6971	Ts-5	leaf	before bolting
GSM2135887	Ull2-3 (6973)	6973	Ull2-3	leaf	before bolting
GSM2135888	Ull2-5 (6974)	6974	Ull2-5	leaf	before bolting
GSM2135889	Uod-7 (6976)	6976	Uod-7	leaf	before bolting
GSM2135890	Wei-0 (6979)	6979	Wei-0	leaf	before bolting
GSM2135891	Alst-1 (6989)	6989	Alst-1	leaf	before bolting
GSM2135892	Ang-0 (6992)	6992	Ang-0	leaf	before bolting
GSM2135893	Bd-0 (7013)	7013	Bd-0	leaf	before bolting
GSM2135894	Bch-1 (7028)	7028	Bch-1	leaf	before bolting
GSM2135895	Buckhorn Pass (7033)	7033	Buckhorn Pass	leaf	before bolting
GSM2135896	Bur-0 (7058)	7058	Bur-0	leaf	before bolting
GSM2135897	Ct-1 (7067)	7067	Ct-1	leaf	before bolting
GSM2135898	Da-0 (7094)	7094	Da-0	leaf	before bolting
GSM2135899	Do-0 (7102)	7102	Do-0	leaf	before bolting
GSM2135900	Dra-0 (7103)	7103	Dra-0	leaf	before bolting
GSM2135901	Dr-0 (7106)	7106	Dr-0	leaf	before bolting
