Trait (B73_v4_gene_model)	Treatments	Lead_SNPa	Effect of expression on survival rate	TbMR	P-valuec	B73_v3_gene_modeld	Arabidopsis homolog gene IDe	Arabidopsis gene symbole	Arabidopsis anotatione
Zm00001d053919	WW ; WS1 ; WS2	- ; - ; 4_243648711	- ; - ; -11.61	- ; - ; 19.10	- ; - ; 1.24E-05	GRMZM2G060669	AT2G45640.1	ATSAP18,SAP18	SIN3 associated polypeptide P18
Zm00001d053648	WW ; WS1 ; WS2	- ; - ; 4_202391070	- ; - ; 15.75	- ; - ; 18.80	- ; - ; 1.45E-05				
Zm00001d053404	WW ; WS1 ; WS2	4_230294228 ; - ; -	14.34 ; - ; -	19.22 ; - ; -	1.17E-05 ; - ; -	GRMZM2G060896	AT5G53120.1	ATSPDS3,SPDS3,SPMS	spermidine synthase 3
Zm00001d053053	WW ; WS1 ; WS2	- ; - ; 4_210734231	- ; - ; -7.49	- ; - ; 17.46	- ; - ; 2.94E-05				
Zm00001d052938	WW ; WS1 ; WS2	- ; - ; 4_205515613	- ; - ; -9.94	- ; - ; 20.26	- ; - ; 6.76E-06	GRMZM2G079477	AT3G55010.1	ATPURM,PUR5	phosphoribosylformylglycinamidine cyclo-ligase, chloroplast / phosphoribosyl-aminoimidazole synthetase / AIR synthase (PUR5)
Zm00001d052886	WW ; WS1 ; WS2	- ; - ; 4_203407216	- ; - ; -12.28	- ; - ; 20.65	- ; - ; 5.53E-06				
Zm00001d052321	WW ; WS1 ; WS2	4_187091504 ; 4_187040316 ; -	-14.86 ; -17.67 ; -	17.95 ; 22.86 ; -	2.26E-05 ; 1.74E-06 ; -	GRMZM2G088847	AT5G01650.1		Tautomerase/MIF superfamily protein
Zm00001d051561	WW ; WS1 ; WS2	- ; 4_162800555 ; -	- ; -16.35 ; -	- ; 22.80 ; -	- ; 1.8E-06 ; -	GRMZM2G110287	AT5G66450.1		Phosphatidic acid phosphatase (PAP2) family protein
Zm00001d051554	WW ; WS1 ; WS2	4_162657346 ; 4_162898448 ; 4_162657066	-9.39 ; -9.36 ; -8.96	22.13 ; 20.86 ; 26.72	2.54E-06 ; 4.95E-06 ; 2.35E-07	GRMZM2G126505	AT4G19230.1	CYP707A1	cytochrome P450, family 707, subfamily A, polypeptide 1
Zm00001d051553	WW ; WS1 ; WS2	- ; - ; 4_162534046	- ; - ; -9.61	- ; - ; 23.91	- ; - ; 1.01E-06	GRMZM2G147780	AT1G31650.1	ATROPGEF14,ROPGEF14	RHO guanyl-nucleotide exchange factor 14
Zm00001d051552	WW ; WS1 ; WS2	4_162887485 ; 4_162657647 ; 4_162882968	-9.80 ; -12.20 ; -9.64	20.19 ; 23.91 ; 27.53	7.02E-06 ; 1.01E-06 ; 1.55E-07	GRMZM2G147701	AT5G19200.1		NAD(P)-binding Rossmann-fold superfamily protein
