Classifications	Treatments	etrait	Annotation for etraita	eQTL	Lead_SNPb	P-valuec	eQTL_Typed	Candidate gene in eQTL region	Annotation for candidate genea
Static local-eQTLs	WW	Zm00001d049171	Lipase/lipooxygenase PLAT/LH2 family protein	4:19001622~19003600	4_19003106	1.54E-11	L	Zm00001d049170,Zm00001d049171	"Plastocyanin-like domain containing protein  ,\Lipase/lipooxygenase PLAT/LH2 family protein\"""""
Static local-eQTLs	WS1	Zm00001d049171	Lipase/lipooxygenase PLAT/LH2 family protein	4:19001578~19003600	4_19003073	5.2300000000000001E-12	L	Zm00001d049170,Zm00001d049171	"Plastocyanin-like domain containing protein  ,\Lipase/lipooxygenase PLAT/LH2 family protein\"""""
Static local-eQTLs	WS2	Zm00001d049171	Lipase/lipooxygenase PLAT/LH2 family protein	4:19001578~19004711	4_19003106	3.9299999999999996E-12	L	Zm00001d049170,Zm00001d049171	"Plastocyanin-like domain containing protein  ,\Lipase/lipooxygenase PLAT/LH2 family protein\"""""
Static local-eQTLs	WW	Zm00001d008501	DUF4228 domain protein	8:10522753~10523493	8_10523493	9.3200000000000001E-8	L	Zm00001d008501	DUF4228 domain protein
Static local-eQTLs	WS1	Zm00001d008501	DUF4228 domain protein	8:10522753~10523493	8_10522756	1.29E-8	L	Zm00001d008501	DUF4228 domain protein
Static local-eQTLs	WS2	Zm00001d008501	DUF4228 domain protein	8:10522753~10523493	8_10523493	1.08E-7	L	Zm00001d008501	DUF4228 domain protein
Static local-eQTLs	WW	Zm00001d026335	Autophagy-related protein 8c	10:143749994~143750680	10_143750680	9.0199999999999999E-10	L	Zm00001d026335	Autophagy-related protein 8c
Static local-eQTLs	WS1	Zm00001d026335	Autophagy-related protein 8c	10:143747677~143750770	10_143750425	9.5400000000000001E-12	L	Zm00001d026335	Autophagy-related protein 8c
Static local-eQTLs	WS2	Zm00001d026335	Autophagy-related protein 8c	10:143750382~143750770	10_143750770	6.2400000000000003E-8	L	Zm00001d026335	Autophagy-related protein 8c
Static local-eQTLs	WW	Zm00001d028038	Methionine--tRNA ligase chloroplastic/mitochondrial	1:21187735~21201054	1_21192256	2.8700000000000003E-17	L	Zm00001d028038	Methionine--tRNA ligase chloroplastic/mitochondrial
Static local-eQTLs	WS1	Zm00001d028038	Methionine--tRNA ligase chloroplastic/mitochondrial	1:21187735~21201054	1_21191372	1.3199999999999999E-18	L	Zm00001d028038	Methionine--tRNA ligase chloroplastic/mitochondrial
Static local-eQTLs	WS2	Zm00001d028038	Methionine--tRNA ligase chloroplastic/mitochondrial	1:21187471~21193677	1_21187735	1.5900000000000001E-12	L	Zm00001d028038	Methionine--tRNA ligase chloroplastic/mitochondrial
Static local-eQTLs	WW	Zm00001d021635	Condensin-2 complex subunit H2	7:158748592~158767153	7_158754176	1.06E-10	L	Zm00001d021635,Zm00001d021636	"Condensin-2 complex subunit H2,\binding;calmodulin binding\"""""
Static local-eQTLs	WS1	Zm00001d021635	Condensin-2 complex subunit H2	7:158748883~158761345	7_158754176	2.2999999999999998E-13	L	Zm00001d021635,Zm00001d021636	"Condensin-2 complex subunit H2,\binding;calmodulin binding\"""""
Static local-eQTLs	WS2	Zm00001d021635	Condensin-2 complex subunit H2	7:158748883~158755709	7_158754176	6.6600000000000001E-8	L	Zm00001d021635,Zm00001d021636	"Condensin-2 complex subunit H2,\binding;calmodulin binding\"""""
Static local-eQTLs	WW	Zm00001d024928	Zinc finger CCCH domain-containing protein 24	10:95451455~95455506	10_95454023	1.62E-17	L	Zm00001d024928	Zinc finger CCCH domain-containing protein 24
Static local-eQTLs	WS1	Zm00001d024928	Zinc finger CCCH domain-containing protein 24	10:95451455~95455506	10_95454035	4.8799999999999999E-17	L	Zm00001d024928	Zinc finger CCCH domain-containing protein 24
Static local-eQTLs	WS2	Zm00001d024928	Zinc finger CCCH domain-containing protein 24	10:95472560~95474572	10_95472650	1.4E-19	L	Zm00001d024928	Zinc finger CCCH domain-containing protein 24
Static local-eQTLs	WW	Zm00001d003719	UPF0496 protein 	2:56339282~56340709	2_56339282	8.9000000000000004E-13	L	Zm00001d000823,Zm00001d003719	"/,\UPF0496 protein \"""""
Static local-eQTLs	WS1	Zm00001d003719	UPF0496 protein 	2:56339282~56340709	2_56339282	2.8300000000000001E-13	L	Zm00001d000823,Zm00001d003719	"/,\UPF0496 protein \"""""
Static local-eQTLs	WS2	Zm00001d003719	UPF0496 protein 	2:56339282~56340709	2_56339282	2.9900000000000001E-11	L	Zm00001d000823,Zm00001d003719	"/,\UPF0496 protein \"""""
Static local-eQTLs	WW	Zm00001d036641	Speckle-type POZ protein  	6:95981574~95983421	6_95983399	2.14E-8	L	Zm00001d036641	Speckle-type POZ protein  
Static local-eQTLs	WS1	Zm00001d036641	Speckle-type POZ protein  	6:95982032~95983499	6_95982032	7.5099999999999999E-10	L	Zm00001d036641	Speckle-type POZ protein  
Static local-eQTLs	WS2	Zm00001d036641	Speckle-type POZ protein  	6:95982032~95983499	6_95983399	4.08E-9	L	Zm00001d036641	Speckle-type POZ protein  
Static local-eQTLs	WW	Zm00001d031940	F1F0-ATPase inhibitor protein	1:207517231~207518862	1_207518541	1.2200000000000001E-18	L	Zm00001d031939	40S ribosomal protein S25-2
Static local-eQTLs	WS1	Zm00001d031940	F1F0-ATPase inhibitor protein	1:207517169~207518862	1_207518541	1.7099999999999999E-20	L	Zm00001d031939	40S ribosomal protein S25-2
Static local-eQTLs	WS2	Zm00001d031940	F1F0-ATPase inhibitor protein	1:207517231~207518862	1_207518541	9.0799999999999994E-18	L	Zm00001d031939	40S ribosomal protein S25-2
Static local-eQTLs	WW	Zm00001d036514	/	6:90962729~90966981	6_90966126	6.29E-10	L	Zm00001d036514,Zm00001d036515	"/,\/\"""""
Static local-eQTLs	WS1	Zm00001d036514	/	6:90964100~90967834	6_90965881	4.3200000000000001E-10	L	Zm00001d036514,Zm00001d036515	"/,\/\"""""
Static local-eQTLs	WS2	Zm00001d036514	/	6:90962729~90967818	6_90965881	5.5199999999999999E-12	L	Zm00001d036514,Zm00001d036515	"/,\/\"""""
Static local-eQTLs	WW	Zm00001d005708	Protein EDS1	2:184110936~184113415	2_184113236	2.59E-8	L	Zm00001d005708	Protein EDS1
